Data;4380 - PIB mensal - Valores correntes (R$ milhões) - R$ (milhões)
01/1999;80.936,3
02/1999;80.929,1
03/1999;88.802,6
04/1999;87.739,0
05/1999;89.223,0
06/1999;91.746,9
07/1999;91.230,4
08/1999;92.283,4
09/1999;90.611,8
10/1999;95.872,4
11/1999;99.563,1
12/1999;98.772,5
01/2000;92.576,6
02/2000;91.770,4
03/2000;92.579,9
04/2000;91.376,2
05/2000;98.727,0
06/2000;102.685,4
07/2000;103.410,4
08/2000;105.177,8
09/2000;100.307,6
10/2000;106.951,1
11/2000;107.678,0
12/2000;105.851,6
01/2001;102.530,7
02/2001;101.635,3
03/2001;108.303,8
04/2001;107.572,0
05/2001;111.202,2
06/2001;104.949,4
07/2001;110.758,9
08/2001;113.064,7
09/2001;108.700,8
10/2001;116.139,0
11/2001;117.882,0
12/2001;113.016,7
01/2002;112.374,8
02/2002;111.477,1
03/2002;118.444,7
04/2002;120.385,9
05/2002;123.552,5
06/2002;123.424,4
07/2002;126.856,6
08/2002;127.800,1
09/2002;125.137,8
10/2002;133.125,4
11/2002;135.966,6
12/2002;130.241,2
01/2003;125.711,1
02/2003;131.383,0
03/2003;140.147,5
04/2003;141.003,2
05/2003;140.058,2
06/2003;137.926,0
07/2003;144.626,0
08/2003;144.367,2
09/2003;150.356,6
10/2003;158.352,2
11/2003;154.756,8
12/2003;149.262,6
01/2004;142.458,5
02/2004;141.650,7
03/2004;160.674,2
04/2004;159.111,3
05/2004;160.113,8
06/2004;162.569,9
07/2004;168.215,1
08/2004;168.069,3
09/2004;168.968,0
10/2004;174.389,4
11/2004;178.016,0
12/2004;173.515,1
01/2005;161.645,2
02/2005;159.967,2
03/2005;178.097,9
04/2005;177.915,9
05/2005;178.126,3
06/2005;179.515,2
07/2005;181.671,6
08/2005;186.714,7
09/2005;184.472,8
10/2005;192.952,2
11/2005;196.416,4
12/2005;193.089,0
01/2006;181.703,8
02/2006;176.995,3
03/2006;195.571,4
04/2006;188.584,2
05/2006;198.732,6
06/2006;194.660,1
07/2006;203.497,8
08/2006;208.796,1
09/2006;205.553,8
10/2006;219.040,8
11/2006;220.983,2
12/2006;215.330,9
01/2007;206.665,4
02/2007;201.550,6
03/2007;223.206,9
04/2007;218.922,4
05/2007;227.533,9
06/2007;224.198,4
07/2007;230.915,0
08/2007;233.903,0
09/2007;227.028,0
10/2007;245.688,9
11/2007;243.269,5
12/2007;237.380,9
01/2008;232.828,5
02/2008;231.983,8
03/2008;247.243,0
04/2008;253.193,5
05/2008;255.741,0
06/2008;260.590,7
07/2008;271.286,3
08/2008;268.548,1
09/2008;272.768,2
10/2008;284.924,2
11/2008;272.113,4
12/2008;258.582,5
01/2009;244.784,2
02/2009;242.501,2
03/2009;268.841,6
04/2009;263.428,8
05/2009;268.742,3
06/2009;271.406,4
07/2009;281.459,6
08/2009;282.508,7
09/2009;288.874,9
10/2009;309.134,7
11/2009;307.944,4
12/2009;303.412,3
01/2010;284.389,3
02/2010;283.356,4
03/2010;318.651,7
04/2010;311.651,0
05/2010;315.947,5
06/2010;316.546,6
07/2010;328.891,3
08/2010;332.382,6
09/2010;336.660,8
10/2010;350.937,7
11/2010;358.427,1
12/2010;348.004,9
01/2011;327.590,9
02/2011;332.322,4
03/2011;356.617,3
04/2011;354.617,8
05/2011;368.272,7
06/2011;363.821,7
07/2011;367.333,1
08/2011;374.887,3
09/2011;370.113,8
10/2011;383.776,1
11/2011;391.537,9
12/2011;385.490,9
01/2012;364.190,6
02/2012;367.525,1
03/2012;397.758,4
04/2012;385.880,0
05/2012;401.862,3
06/2012;395.383,3
07/2012;409.021,0
08/2012;418.752,0
09/2012;402.675,8
10/2012;431.405,6
11/2012;426.600,5
12/2012;413.705,4
01/2013;408.889,7
02/2013;398.093,7
03/2013;434.630,2
04/2013;446.505,0
05/2013;441.335,3
06/2013;434.739,6
07/2013;452.597,5
08/2013;453.781,6
09/2013;447.754,9
10/2013;475.713,6
11/2013;470.324,8
12/2013;467.252,8
01/2014;453.279,1
02/2014;455.501,7
03/2014;477.200,3
04/2014;479.721,0
05/2014;481.273,5
06/2014;461.327,2
07/2014;486.905,2
08/2014;483.778,7
09/2014;491.441,5
10/2014;508.969,3
11/2014;498.508,9
12/2014;501.046,5
01/2015;474.355,9
02/2015;466.744,9
03/2015;515.557,8
04/2015;497.144,5
05/2015;492.273,4
06/2015;490.551,9
07/2015;507.172,0
08/2015;501.393,0
09/2015;499.663,2
10/2015;521.323,1
11/2015;513.567,7
12/2015;516.039,6
01/2016;481.693,5
02/2016;490.465,9
03/2016;528.139,4
04/2016;520.852,9
05/2016;516.498,4
06/2016;521.698,9
07/2016;521.940,3
08/2016;530.769,1
09/2016;524.461,1
10/2016;539.700,3
11/2016;546.134,4
12/2016;546.973,8
01/2017;513.835,4
02/2017;510.883,1
03/2017;560.954,9
04/2017;537.644,2
05/2017;551.014,8
06/2017;542.070,6
07/2017;548.413,0
08/2017;555.981,1
09/2017;544.241,1
10/2017;568.784,4
11/2017;573.979,2
12/2017;577.677,2
01/2018;552.596,7
02/2018;540.026,2
03/2018;589.460,2
04/2018;587.651,4
05/2018;562.128,4
06/2018;584.319,2
07/2018;592.237,2
08/2018;599.083,5
09/2018;576.535,0
10/2018;612.219,8
11/2018;607.739,5
12/2018;600.144,0
01/2019;578.637,7
02/2019;576.588,5
03/2019;602.327,3
04/2019;613.536,6
05/2019;615.843,2
06/2019;597.381,3
07/2019;632.223,2
08/2019;629.533,6
09/2019;618.853,4
10/2019;649.663,3
11/2019;638.023,6
12/2019;636.519,1
01/2020;613.964,5
02/2020;618.260,2
03/2020;635.869,8
04/2020;567.572,6
05/2020;577.721,9
06/2020;607.429,1
07/2020;643.947,8
08/2020;637.389,3
09/2020;647.986,3
10/2020;673.368,2
11/2020;680.116,3
12/2020;705.970,9
01/2021;678.558,8
02/2021;707.244,2
03/2021;770.867,1
04/2021;738.416,1
05/2021;731.597,9
06/2021;733.624,7
07/2021;766.376,8
08/2021;767.517,0
09/2021;761.957,2
10/2021;772.957,5
11/2021;788.108,0
12/2021;794.916,6
01/2022;728.611,3
02/2022;753.150,5
03/2022;837.766,3
04/2022;827.888,4
05/2022;844.229,9
06/2022;845.363,1
07/2022;870.428,3
08/2022;873.757,7
09/2022;856.996,0
10/2022;877.864,9
11/2022;879.514,9
12/2022;884.105,3
01/2023;816.346,0
02/2023;831.047,6
03/2023;935.312,2
04/2023;899.686,2
05/2023;905.754,5
06/2023;895.664,2
07/2023;912.717,4
08/2023;923.779,8
09/2023;904.464,2
10/2023;939.759,5
11/2023;952.982,5
12/2023;950.242,9
Fonte;BCB-Depec
